pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,Effect,effect_clean,ddid_effects_all,Result,Conclusion,PMID,Reference,DOI,Relationship_classification,relationship_sources,evidence_row_count,n_effects,has_effect_conflict,has_label_conflict,model_name
D01100__F00105,D01100,Belumosudil,F00105,High-fat meal,Food,Use caution,belumosudil [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Belumosudil Cmax and AUC increased 2.2 times and 2 times, respectively, following administration of a single belumosudil dose with a high-fat and high-calorie meal compared to the fasted state in healthy subjects. Median Tmax was delayed 0.5 hours.",Take REZUROCK with a meal at approximately the same time each day.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214783s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D01034__F00105,D01034,Cefditoren,F00105,High-Fat Meal,Food,Use caution,cefditoren [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"70% increase in mean AUC and a 50% increase in mean Cmax compared to administration of cefditoren pivoxil in the fasted state. After a high-fat meal, the Cmax averaged 3.1 ± 1.0 µg/mL following a single 200 mg dose of cefditoren pivoxil and 4.4 ± 0.9 µg/mL following a 400 mg dose.",Take with food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021222s013s016lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D00291__H01018,D00291,Phenacetin,H01018,ZE XIE,Herb,Use caution,phenacetin [SEP] ze xie [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"There was a statistically significant difference in the t1/2, Cmax, AUC(0-inf) and CL for phenacetin and midazolam.","Caution is needed when RA is co-administration with some CYP1A2 or CYP3A4 substrates in clinic, because it may result in treatment failure and herb-drug interactions.",24824320.0,Effects of Alismatis rhizome on rat cytochrome P450 enzymes,10.3109/13880209.2013.864685,HFDI,HFDI,1,1,0,0,Calibrated balanced mode
D00597__H01038,D00597,Atorvastatin,H01038,Fructus Aurantii Immaturus,Herb,Use caution,atorvastatin [SEP] fructus aurantii immaturus [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,Calibrated balanced mode
D00436__F00104,D00436,Fluoxymesterone,F00104,Meal,Food,Use caution,fluoxymesterone [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with food.,Take with food.,,https://go.drugbank.com/drugs/DB01185,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00187__H01102,D00187,Ibuprofen,H01102,Ginkgo Biloba,Herb,Avoid,ibuprofen [SEP] ginkgo biloba [SEP] herb,No known interaction in selected source,Harmful,Harmful,Harmful,Already used 2 years and 6 months,"In the case of G. biloba extract, particular attention should be paid to the potentially increased risk of bleeding complications, especially when it is taken concomitantly with other drugs which interfere with the coagulation system.",12818420.0,Fatal intracerebral mass bleeding associated with Ginkgo biloba and ibuprofen,10.1016/s0021-9150(03)00015-7,HFDI,HFDI,1,1,0,0,Calibrated balanced mode
D01468__F00105,D01468,Rivoceranib,F00105,High-Fat Meal,Food,Use caution,rivoceranib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,"Fed/fasting comparison : Cmax(90%CI) = 121 (91, 159),AUC0-inf (90%CI) = 129 (108, 153),Tmax (h) = 3 (1.5–6.03) (fasting = 1.75 (1–4))","Non-compartmental PK analysis of both parts of the study showed that the median tmax value was delayed when rivoceranib was administered with food, with an increase in exposure at the 201 mg dose. Thus, maximum exposure of rivoceranib is most likely to occur after food intake which is consistent with other tyrosine kinase inhibitors",34101892.0,Effect of food intake on the pharmacokinetics of rivoceranib in healthy subjects,10.1111/fcp.12707,Dietary effects,Dietary effects,2,2,1,1,Calibrated balanced mode
D00137__F00104,D00137,Ethotoin,F00104,Meal,Food,Use caution,ethotoin [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"The drug should be taken after food, and doses should be spaced as evenly as practicable. This may reduce gastrointestinal upset.",Take after a meal.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/010841s021lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D01009__F00104,D01009,Lansoprazole,F00104,Meal,Food,Use caution,lansoprazole [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"Both the Cmax and AUC are diminished by about 50 to 70% if lansoprazole is given 30 minutes after food, compared to the fasting condition. There is no significant food effect if lansoprazole is given before meals.",Take before a meal.,,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020406s087s088,021428s034s035lbl.pdf",,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D01311__F00104,D01311,Vosoritide,F00104,Meal,Food,Use caution,vosoritide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"To reduce the risk of a decrease in blood pressure and associated symptoms (dizziness, fatigue and/or nausea), instruct patients to be well hydrated and have adequate food intake prior to administration of VOXZOGO.","Your child should eat a meal and drink a glass (about 8 to 10 ounces) of fluid (such as water, milk, or juice) within 1 hour before injection.",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214938Orig1s000Corrected_lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D00360__F00104,D00360,Cocarboxylase,F00104,Meal,Food,Use caution,cocarboxylase [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Many different products contain cocarboxylase; refer to the product monograph for more specific instruction. EnBrace HR and EnLyte products should be taken on an empty stomach.,Take with or without food. Many different products contain cocarboxylase; refer to the product monograph for more specific instruction. EnBrace HR and EnLyte products should be taken on an empty stomach.,,https://go.drugbank.com/drugs/DB01987,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D01218__F00105,D01218,Gimeracil,F00105,High-Fat Meal,Food,Use caution,gimeracil [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Administration of Teysuno under fed conditions resulted in decreased AUC0-inf for gimeracil of approximately 25%,Take on an empty stomach. Take Teysuno at least 1 hour before or after eating.,,https://www.ema.europa.eu/en/documents/product-information/teysuno-epar-product-information_en.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D00572__F00105,D00572,Simvastatin,F00105,High-Fat Meal,Food,Use caution,simvastatin [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"High-fat meal demonstrated an 18% decrease in simvastatin AUC0-inf and a 44% increase in ß-hydroxyacid simvastatin AUC0-inf, compared with what was observed in the fasted state.",Take with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/206679s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D00385__F00104,D00385,Troglitazone,F00104,Meal,Food,Use caution,troglitazone [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Food increases the extent of absorption by 30% to 85%,Rezulin should be taken with a meal to enhance systemic drug availability,,https://www.accessdata.fda.gov/drugsatfda_docs/label/1999/20720s12lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D00553__F00105,D00553,Pirfenidone,F00105,High-Fat Meal,Food,Use caution,pirfenidone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"Significantly reduced maximum plasma concentration (Cmax, 5.05 ± 1.39 vs 10.90 ± 2.94 mg/L), modestly affected AUC 0-12 h (21.8 9 ± 6.47 vs 26.1 6 ± 7.32 mg·h/L) and delayed Tmax were observed in fed group compared with fasted group.",Take with food. Food decreased the rate and extent of absorption. Food reduces the incidence of drug-related adverse reactions.,26407124.0,Effect of grapefruit juice and food on the pharmacokinetics of pirfenidone in healthy Chinese volunteers: a diet-drug interaction study,10.3109/00498254.2015.1089365,Dietary effects,Dietary effects,1,1,0,0,Calibrated balanced mode
D00297__F00104,D00297,Phenylbutazone,F00104,Meal,Food,Use caution,phenylbutazone [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food.,,https://go.drugbank.com/drugs/DB00812,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00597__F00105,D00597,Atorvastatin,F00105,High-Fat Meal,Food,Use caution,atorvastatin [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative; No Effect,"Fed/fasting comparison : Tmax (h) = 2.53 (fasting = 1.38), Cmax(90%CI) = 68.1 (59.5-78.7), AUC0‐inf (90%CI) = 88.6 (83.4-94.9)",Take with or without food. Food decreases absorption but not to a clinically significant extent.,16988211.0,Effect of food on the bioavailability of amlodipine besylate/atorvastatin calcium combination tablet,10.1177/0091270006291097,Dietary effects,Dietary effects,2,2,1,1,Calibrated balanced mode
D00021__F00104,D00021,Acetohexamide,F00104,Meal,Food,Use caution,acetohexamide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,The absorption is unaffected by food.,Take with or without food.,,https://go.drugbank.com/drugs/DB00414,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00450__F00104,D00450,Yohimbine,F00104,Meal,Food,Use caution,yohimbine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB01392,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00833__F00105,D00833,Artenimol,F00105,High-Fat Meal,Food,Use caution,artenimol [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Co-administration of food was also found to result in both delayed and enhanced absorption of dihydroartemisinin (ratio between AUCinf in the fed and fasted = 142 %, 90 % CI 113-178 %; ratio between mean transit time [MTT] values in the fed and fasted states [MTTFED/MTTFASTED] = 135 %, 90 % CI 114-160 %).","Although food was found to significantly impact on the pharmacokinetics of piperaquine and dihydroartemisinin, given the low fat content of standard meals within endemic regions and the anorexic effects of malaria infection, these results are unlikely to impact on the clinical utility of these drugs. However, co-administration of food with these anti-malarials by populations consuming a typical Western diet should be avoided to reduce the risk of toxic side effects. It is therefore a general recommendation that piperaquine-dihydroartemisinin not be administered within ±3 h of food consumption.",26293519.0,Effect of food on the pharmacokinetics of piperaquine and dihydroartemisinin,10.1007/s40261-015-0312-8,Dietary effects,Dietary Effect-Package Insert; Dietary effects,2,1,0,0,Calibrated balanced mode
D00597__H00182,D00597,Atorvastatin,H00182,DAN SHEN,Herb,Use caution,atorvastatin [SEP] dan shen [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"The results indicated that Cmax (23.87 ± 4.27 vs. 38.94 ± 5.32 ng/mL), AUC(0-t) (41.01 ± 11.32 vs. 77.28 ± 12.92 ng h/mL), and t1/2 (1.91 ± 0.18 vs. 2.74 ± 0.23 h) decreased significantly (p < 0.05) when DST and AC were co-administered, which suggested that DST might influence the pharmacokinetic behavior of AC when they are co-administered. The metabolic stability (t1/2) of AC was also decreased (25.7 ± 5.2 vs. 42.5 ± 6.1) with the pretreatment of DST.","This study indicated that the main components in DST could accelerate the metabolism of AC in rat liver microsomes and change the pharmacokinetic behaviors of AC. So these results showed that the herb-drug interaction between DST and AC might occur when they were co-administered. Therefore, the clinical dose of AC should be adjusted when DST and AC are co-administered.",29322864.0,Effects of Danshen tablets on pharmacokinetics of atorvastatin calcium in rats and its potential mechanism,10.1080/13880209.2018.1424209,HFDI,HFDI,3,2,1,1,Calibrated balanced mode
D01083__F00104,D01083,Urea C-14,F00104,Meal,Food,Use caution,urea c-14 [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Avoid eating and drinking for 4-6 hours before doing a urea breath test with Urea C-14.,Take on an empty stomach.,,https://go.drugbank.com/drugs/DB09513,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
