pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction
D01100__F00105,D01100,Belumosudil,F00105,High-fat meal,Food,Use caution,belumosudil [SEP] high-fat meal [SEP] food,No known interaction in selected source
D01034__F00105,D01034,Cefditoren,F00105,High-Fat Meal,Food,Use caution,cefditoren [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00291__H01018,D00291,Phenacetin,H01018,ZE XIE,Herb,Use caution,phenacetin [SEP] ze xie [SEP] herb,No known interaction in selected source
D01384__F00105,D01384,Palbociclib,F00105,High-Fat Meal,Food,Use caution,palbociclib [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00296__F00104,D00296,Phenylbutyric Acid,F00104,Meal,Food,Use caution,phenylbutyric acid [SEP] meal [SEP] food,No known interaction in selected source
D00597__H01038,D00597,Atorvastatin,H01038,Fructus Aurantii Immaturus,Herb,Use caution,atorvastatin [SEP] fructus aurantii immaturus [SEP] herb,No known interaction in selected source
D00135__F00104,D00135,Etacrynic Acid,F00104,Meal,Food,Use caution,etacrynic acid [SEP] meal [SEP] food,No known interaction in selected source
D01125__F00105,D01125,Elacestrant,F00105,High-Fat Meal,Food,Use caution,elacestrant [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00436__F00104,D00436,Fluoxymesterone,F00104,Meal,Food,Use caution,fluoxymesterone [SEP] meal [SEP] food,No known interaction in selected source
D00187__H01102,D00187,Ibuprofen,H01102,Ginkgo Biloba,Herb,Avoid,ibuprofen [SEP] ginkgo biloba [SEP] herb,No known interaction in selected source
D01468__F00105,D01468,Rivoceranib,F00105,High-Fat Meal,Food,Use caution,rivoceranib [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00137__F00104,D00137,Ethotoin,F00104,Meal,Food,Use caution,ethotoin [SEP] meal [SEP] food,No known interaction in selected source
D01009__F00104,D01009,Lansoprazole,F00104,Meal,Food,Use caution,lansoprazole [SEP] meal [SEP] food,No known interaction in selected source
D01311__F00104,D01311,Vosoritide,F00104,Meal,Food,Use caution,vosoritide [SEP] meal [SEP] food,No known interaction in selected source
D00360__F00104,D00360,Cocarboxylase,F00104,Meal,Food,Use caution,cocarboxylase [SEP] meal [SEP] food,No known interaction in selected source
D00181__F00103,D00181,Hydrochlorothiazide,F00103,Alcohol,Food,Use caution,hydrochlorothiazide [SEP] alcohol [SEP] food,No known interaction in selected source
D01218__F00105,D01218,Gimeracil,F00105,High-Fat Meal,Food,Use caution,gimeracil [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00791__F00118,D00791,Posaconazole,F00118,Non-Fat Meal,Food,Use caution,posaconazole [SEP] non-fat meal [SEP] food,No known interaction in selected source
D00572__F00105,D00572,Simvastatin,F00105,High-Fat Meal,Food,Use caution,simvastatin [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00385__F00104,D00385,Troglitazone,F00104,Meal,Food,Use caution,troglitazone [SEP] meal [SEP] food,No known interaction in selected source
D00553__F00105,D00553,Pirfenidone,F00105,High-Fat Meal,Food,Use caution,pirfenidone [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00297__F00104,D00297,Phenylbutazone,F00104,Meal,Food,Use caution,phenylbutazone [SEP] meal [SEP] food,No known interaction in selected source
D00597__F00105,D00597,Atorvastatin,F00105,High-Fat Meal,Food,Use caution,atorvastatin [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00774__F00123,D00774,Rosuvastatin,F00123,Low-Fat Meal,Food,Use caution,rosuvastatin [SEP] low-fat meal [SEP] food,No known interaction in selected source
D00021__F00104,D00021,Acetohexamide,F00104,Meal,Food,Use caution,acetohexamide [SEP] meal [SEP] food,No known interaction in selected source
D00450__F00104,D00450,Yohimbine,F00104,Meal,Food,Use caution,yohimbine [SEP] meal [SEP] food,No known interaction in selected source
D00833__F00105,D00833,Artenimol,F00105,High-Fat Meal,Food,Use caution,artenimol [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00370__F00027,D00370,Tolbutamide,F00027,Garlic,Food,Use caution,tolbutamide [SEP] garlic [SEP] food,No known interaction in selected source
D01148__F00105,D01148,Cabozantinib,F00105,High-Fat Meal,Food,Use caution,cabozantinib [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00597__H00182,D00597,Atorvastatin,H00182,DAN SHEN,Herb,Use caution,atorvastatin [SEP] dan shen [SEP] herb,No known interaction in selected source
D01083__F00104,D01083,Urea C-14,F00104,Meal,Food,Use caution,urea c-14 [SEP] meal [SEP] food,No known interaction in selected source
D01265__F00104,D01265,Cholestyramine,F00104,Meal,Food,Use caution,cholestyramine [SEP] meal [SEP] food,No known interaction in selected source
D00027__F00162,D00027,Alprazolam,F00162,Grapefruit,Food,Use caution,alprazolam [SEP] grapefruit [SEP] food,No known interaction in selected source
D00271__H00318,D00271,Omeprazole,H00318,Hypericum perforatum,Herb,Use caution,omeprazole [SEP] hypericum perforatum [SEP] herb,No known interaction in selected source
D00323__F00105,D00323,Propiverine,F00105,High-Fat Meal,Food,Use caution,propiverine [SEP] high-fat meal [SEP] food,No known interaction in selected source
D00648__F00104,D00648,Methotrimeprazine,F00104,Meal,Food,Use caution,methotrimeprazine [SEP] meal [SEP] food,No known interaction in selected source
D00647__F00103,D00647,Secnidazole,F00103,Alcohol,Food,Use caution,secnidazole [SEP] alcohol [SEP] food,No known interaction in selected source
D00577__F00105,D00577,Quinapril,F00105,High-Fat Meal,Food,Use caution,quinapril [SEP] high-fat meal [SEP] food,No known interaction in selected source
