pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,Effect,effect_clean,ddid_effects_all,Result,Conclusion,PMID,Reference,DOI,Relationship_classification,relationship_sources,evidence_row_count,n_effects,has_effect_conflict,has_label_conflict,model_name,prob_avoid,prob_no_known_interaction_in_selected_source,prob_use_caution
D01100__F00105,D01100,Belumosudil,F00105,High-fat meal,Food,Use caution,belumosudil [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Belumosudil Cmax and AUC increased 2.2 times and 2 times, respectively, following administration of a single belumosudil dose with a high-fat and high-calorie meal compared to the fasted state in healthy subjects. Median Tmax was delayed 0.5 hours.",Take REZUROCK with a meal at approximately the same time each day.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214783s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D01034__F00105,D01034,Cefditoren,F00105,High-Fat Meal,Food,Use caution,cefditoren [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"70% increase in mean AUC and a 50% increase in mean Cmax compared to administration of cefditoren pivoxil in the fasted state. After a high-fat meal, the Cmax averaged 3.1 ± 1.0 µg/mL following a single 200 mg dose of cefditoren pivoxil and 4.4 ± 0.9 µg/mL following a 400 mg dose.",Take with food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021222s013s016lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00291__H01018,D00291,Phenacetin,H01018,ZE XIE,Herb,Use caution,phenacetin [SEP] ze xie [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"There was a statistically significant difference in the t1/2, Cmax, AUC(0-inf) and CL for phenacetin and midazolam.","Caution is needed when RA is co-administration with some CYP1A2 or CYP3A4 substrates in clinic, because it may result in treatment failure and herb-drug interactions.",24824320.0,Effects of Alismatis rhizome on rat cytochrome P450 enzymes,10.3109/13880209.2013.864685,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D01384__F00105,D01384,Palbociclib,F00105,High-Fat Meal,Food,Use caution,palbociclib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,"AUCinf and Cmax of palbociclib increased by 21% and 38%, respectively, when given with high-fat, high-calorie food",Take with food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/207103s010lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert; Dietary effects,2,2,1,1,Balanced AI baseline,,,
D00296__F00104,D00296,Phenylbutyric Acid,F00104,Meal,Food,Use caution,phenylbutyric acid [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,The effect of food on phenylbutyrate’s absorption is unknown.,Take with food.,,https://go.drugbank.com/drugs/DB06819,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00597__H01038,D00597,Atorvastatin,H01038,Fructus Aurantii Immaturus,Herb,Use caution,atorvastatin [SEP] fructus aurantii immaturus [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00135__F00104,D00135,Etacrynic Acid,F00104,Meal,Food,Use caution,etacrynic acid [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food.,,https://go.drugbank.com/drugs/DB00903,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D01125__F00105,D01125,Elacestrant,F00105,High-Fat Meal,Food,Use caution,elacestrant [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Administration of ORSERDU 345 mg with a high-fat meal increased Cmax by 42% and AUC by 22% compared to fasted administration.,Take with food to reduce nausea and vomiting,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217639s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00436__F00104,D00436,Fluoxymesterone,F00104,Meal,Food,Use caution,fluoxymesterone [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with food.,Take with food.,,https://go.drugbank.com/drugs/DB01185,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00187__H01102,D00187,Ibuprofen,H01102,Ginkgo Biloba,Herb,Avoid,ibuprofen [SEP] ginkgo biloba [SEP] herb,No known interaction in selected source,Harmful,Harmful,Harmful,Already used 2 years and 6 months,"In the case of G. biloba extract, particular attention should be paid to the potentially increased risk of bleeding complications, especially when it is taken concomitantly with other drugs which interfere with the coagulation system.",12818420.0,Fatal intracerebral mass bleeding associated with Ginkgo biloba and ibuprofen,10.1016/s0021-9150(03)00015-7,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
